Gene	Num
CLCA2	21
ITIH5	21
POTEH	21
SPTBN1	21
DPP10	21
PSG7	21
BAZ2B	21
ATP7A	21
PLCE1	21
CFAP54	21
COL21A1	21
CWH43	21
OR10Z1	21
ZSWIM2	21
OR4S2	21
LILRA1	21
OR5D16	21
EPG5	21
PMFBP1	21
AGBL1	21
ADAMTS14	21
HFM1	21
ADAMTS3	21
CDKN2A	21
ARPP21	21
OR4N5	21
GOLGB1	21
ZNF99	21
MYLK	21
PCDHGB1	21
OR10Q1	21
OR56A4	21
ZSCAN4	21
DACH2	21
KPRP	21
ALPK1	21
OR2L3	21
SPAM1	21
PSG8	21
PCDH8	21
WDR17	21
CAD	21
TRPV6	21
DSCAML1	21
PROS1	21
GCN1L1	21
OLFM4	21
ZBED9	21
ADAM2	20
PCNXL2	20
SIGLEC10	20
PEX5L	20
BRINP1	20
KCNQ2	20
F13B	20
CES5A	20
CASR	20
RP11-407N17.3	20
TMEM2	20
OR2T11	20
RTTN	20
SELP	20
LAMA5	20
PKP2	20
JMJD1C	20
CDHR2	20
SYT10	20
FSIP2	20
CTNNA3	20
COL5A3	20
OR2M7	20
FCRL1	20
POLE	20
USP9X	20
PCDH7	20
CREBBP	20
ADAM23	20
LRP4	20
HEPHL1	20
CNGB3	20
PCSK5	20
DPYD	20
ACSM2A	20
ARID1B	20
A2M	20
SZT2	20
ARHGAP36	20
FZD10	20
OR4Q3	20
BCAN	20
ABCC9	20
TNXB	20
UGT2B11	20
SLC32A1	20
RNF213	20
UBBP4	20
ICE1	20
HTR1A	20
HTR1E	20
SLC4A10	20
CCT8L2	20
TPR	20
ADCY10	20
C10orf71	20
PASD1	20
SCN4A	20
PTPRN	20
BMPER	20
KMT2A	20
CPXM2	20
MICAL3	20
CDH19	20
PRKD1	20
TNRC6A	20
DLG2	20
KEL	20
PRSS1	20
GOLGA3	20
ATP1A4	20
LVRN	20
NRK	20
DSEL	20
CCKBR	20
PCDHGB2	20
HEATR1	20
TBX15	20
SLC9C2	20
OR2B11	20
PCK1	20
SEMA5B	20
IL16	20
MYOF	20
OR2T27	20
GABRQ	20
CACNA1S	20
BCL11A	20
MROH9	20
ADGRE1	20
PPFIA2	20
SIRPG	19
OR13G1	19
LAMC3	19
MTOR	19
DENND2A	19
PPARGC1A	19
C2orf78	19
OR6Y1	19
TRIOBP	19
SLIT1	19
OR8J1	19
ROBO1	19
GRIA2	19
WDR7	19
ITIH2	19
SERPINA3	19
TRPM3	19
USP34	19
CTCFL	19
VAV3	19
PCDHB15	19
DSP	19
ATG2B	19
AGL	19
DACT1	19
OR8H1	19
CHD8	19
BCOR	19
OR10X1	19
TRIO	19
DCSTAMP	19
DCLK1	19
MED13L	19
