Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-2662-11A-01R-1758-07	0.0775433623494658	0	0.0085514346712288	0.0752570405353191	0	0.23473099722644	0	0	0	0	0.033984666681749	0.0373380524733328	0.125117625483092	0	0.0218454668509136	0.174800057901118	0	0.0487079355079074	0.0392544007152059	0.0270135266308791	0	0.0958554329733487	0.098	0.110442015105124	1.03609563686418
TCGA-55-6986-11A-01R-1949-07	0.0461719546795107	0	0.000777436786045451	0.118595598734339	0	0.213470237297672	0.00210810587324661	0.00188876192818467	0	0	0.0123012421438013	0.00441620522493727	0.0158360041107871	0.127235281393415	0.0416473686686347	0.241527364556206	0.0119869562901362	0.00937287072954393	0.0535584837485739	0	0.062199235467013	0.036906892367953	0.039	0.186863554821635	1.00662663957414
TCGA-38-4625-11A-01R-1758-07	0.0372664512531182	0	0.00472805698885224	0.0480363258667644	0	0.108001196842614	0	0	0	0	0.00439496513240829	0.0096142563735515	0.0966356678335607	0.301907200190261	0	0.190674386567667	0	0.0561971460645372	0.0881732476953093	0	0.0211257216994035	0.0332453774919532	0.003	0.350070052791091	0.942954263504594
TCGA-91-6831-11A-02R-1858-07	0.0271523761454223	0	0	0.0998409483272146	0	0.225211281097452	0.0243475684249575	0.0116920941123544	0	0	0.0211729387912182	0	0.0548079185418908	0.168063147734473	0.036263479430708	0.128434919412266	0.00132965555724816	0.0558662284103463	0.0559953791554137	0.00508008223107624	0.03015901014832	0.0545829724796387	0.017	0.239469640047899	0.984816033281834
TCGA-50-5933-11A-01R-1755-07	0.0844147435799419	0	0.0170433983573902	0.0842469701911734	0	0.115063357064777	0.00866231573153684	0	0	0	0.0641943894051867	0	0.0915612432419641	0.106689980571665	0.0178336623843646	0.119311230900238	0	0.105488682096298	0.0590506441954117	0	0	0.126439382280052	0.016	0.25046405488351	0.979180383860748
TCGA-50-5939-11A-01R-1628-07	0.0321586829155002	0.0133118847661945	0	0.0563889607668927	0	0.196063814775386	0	0	0	0	0.0379462824763831	0	0.104705370787189	0.181656677478775	0.0147816596426643	0.202697371380344	0.00536369035078843	0	0.0531817637509799	0	0.0624750324025704	0.0392688085063328	0.04	0.1846751208428	1.00888603556009
TCGA-73-4676-11A-01R-1755-07	0.0271378405819054	0	0.000945182776145017	0.149503964993569	0	0.151544841480217	0.00571520809279428	0	0	0	0.0428134197695177	0.0147704972543869	0.0728331535155675	0.217915667474737	0	0.136084657225893	0.0584599115470892	0.0675036221856944	0.0437835216525552	0	0.00482978134601886	0.00615873010390918	0.003	0.334960748418921	0.945805029312982
TCGA-55-6979-11A-01R-1949-07	0.0667324620430777	0	0.0121197981993831	0.066392398805503	0	0.19869889510592	0.00106263440611221	0.0412256716709031	0	0	0	0.0195760223734229	0.000299209273917005	0.250774805868895	0.0743490387645261	0.181058244857324	0.0132416879979724	0	0.029847093884532	0	0.010354259366818	0.0342677773816937	0.013	0.256587511593871	0.983429702874654
TCGA-50-5930-11A-01R-1755-07	0.133120359692779	0	0.0253638392325602	0.147260693933937	0	0.0868332765555295	0	0	0.0213404953677507	0	0.039580293951971	0.013746020971114	0.102286261518072	0.102770379924804	0.00673475578036457	0.15674374346353	0.0126785100583142	0.0146562011497156	0.102106878262606	0	0.0168378710864611	0.0179404190504911	0.00600000000000001	0.285409386816969	0.962897045576957
TCGA-38-4632-11A-01R-1755-07	0.0242483153624208	0	0.00532070458017336	0.0995930147407055	0	0.160770047020618	0.0303134101995524	0	0	0	0.0127467295291634	0.0146145466452811	0.0297686287209801	0.103983241366013	0.0352824260505954	0.26233025071455	0.032357418456433	0.0176157508374425	0.106322598080248	0	0.0277402600037942	0.0369926576920299	0.002	0.35765567238365	0.933908952562716
TCGA-49-4490-11A-01R-1858-07	0.0437605521136805	0	0.00374581056092331	0.120752566002702	0	0.239565027710905	0.0108470705439974	0	0	0.00401734514762941	0.0800110158930077	0	0.00307411173621425	0.0581295180652699	0.0194421356913064	0.184791434555377	0.0762611221761627	0.0428528913208762	0.089606468578717	0	0.00267280573246261	0.0204701241707688	0.003	0.341716484103456	0.940862589094983
TCGA-44-3398-11B-01R-1758-07	0.00328142017654435	0	0	0.0802176718710395	0	0.192940558477301	0	0	0	0	0.0892432558090637	0.0317025657724109	0.0630444489147572	0.182273732911868	0.0343316951513956	0.0973812433496953	0.0229235105649783	0.0520084296098355	0.126015645541573	0	0	0.0246358218495382	0.005	0.306010113840585	0.957420971290272
TCGA-44-6777-11A-01R-1858-07	0.0237871877768341	0.00522404444118731	0.0370259564797031	0.115709842834375	0	0.16714805097837	0	0.000224722062328954	0	0	0.0140661954470962	0.0182058231996361	0.058940133061758	0.169662385098116	0.0357258087649247	0.204863639396146	0.0106226387124477	0.0275254829420349	0.0844880944047474	0	0	0.0267799944002949	0.024	0.225972310302855	0.989286857801082
